Packet Sent:#136#Round Trip Time#299433#Encryption Time Sender#80#Encryption Time Sender#126#49632#49632#49632#Message:#99.16#   209#
Packet Sent:#137#Round Trip Time#288571#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#97.11#   210#
Packet Sent:#138#Round Trip Time#293556#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#96.03#   210#
Packet Sent:#139#Round Trip Time#295682#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#97.11#   210#
Packet Sent:#140#Round Trip Time#303538#Encryption Time Sender#72#Encryption Time Sender#126#49632#49520#49520#Message:#101.4#   209#
Packet Sent:#141#Round Trip Time#303003#Encryption Time Sender#73#Encryption Time Sender#126#49520#49632#49632#Message:#102.9#   209#
Packet Sent:#142#Round Trip Time#295693#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#98.91#   210#
Packet Sent:#143#Round Trip Time#300532#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#99.37#   209#
Packet Sent:#144#Round Trip Time#295155#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#99.30#   209#
Packet Sent:#145#Round Trip Time#306127#Encryption Time Sender#81#Encryption Time Sender#126#49632#49632#49632#Message:#103.4#   210#
Packet Sent:#146#Round Trip Time#304159#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#100.7#   210#
Packet Sent:#147#Round Trip Time#301946#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#101.6#   210#
Packet Sent:#148#Round Trip Time#298630#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.7#   210#
Packet Sent:#149#Round Trip Time#304629#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#99.62#   210#
Packet Sent:#150#Round Trip Time#293430#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#98.04#   209#
Packet Sent:#151#Round Trip Time#306543#Encryption Time Sender#73#Encryption Time Sender#126#49632#49520#49520#Message:#102.5#   210#
Packet Sent:#152#Round Trip Time#299764#Encryption Time Sender#73#Encryption Time Sender#126#49520#49520#49520#Message:#101.7#   210#
Packet Sent:#153#Round Trip Time#300446#Encryption Time Sender#73#Encryption Time Sender#126#49520#49632#49632#Message:#101.6#   210#
Packet Sent:#154#Round Trip Time#298566#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#100.9#   210#
Packet Sent:#155#Round Trip Time#301857#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.2#   210#
