Packet Sent:#189#Round Trip Time#167466#Encryption Time Sender#146#Encryption Time Sender#236#49624#49624#49624#Message:#11.17#   260#
Packet Sent:#190#Round Trip Time#162993#Encryption Time Sender#144#Encryption Time Sender#248#49624#49624#49624#Message:#11.05#   283#
Packet Sent:#191#Round Trip Time#165120#Encryption Time Sender#146#Encryption Time Sender#235#49624#49624#49624#Message:#11.10#   284#
Packet Sent:#192#Round Trip Time#166448#Encryption Time Sender#140#Encryption Time Sender#243#49624#49624#49624#Message:#11.35#   259#
Packet Sent:#193#Round Trip Time#165489#Encryption Time Sender#146#Encryption Time Sender#240#49624#49624#49624#Message:#11.08#   283#
Packet Sent:#194#Round Trip Time#165910#Encryption Time Sender#140#Encryption Time Sender#244#49624#49624#49624#Message:#11.25#   283#
Packet Sent:#195#Round Trip Time#165225#Encryption Time Sender#145#Encryption Time Sender#235#49624#49624#49624#Message:#11.04#   259#
Packet Sent:#196#Round Trip Time#168097#Encryption Time Sender#145#Encryption Time Sender#248#49624#49624#49624#Message:#11.02#   284#
Packet Sent:#197#Round Trip Time#162618#Encryption Time Sender#146#Encryption Time Sender#235#49624#49624#49624#Message:#10.98#   284#
Packet Sent:#198#Round Trip Time#165610#Encryption Time Sender#139#Encryption Time Sender#247#49624#49512#49512#Message:#10.97#   254#
Packet Sent:#199#Round Trip Time#164884#Encryption Time Sender#146#Encryption Time Sender#232#49512#49624#49624#Message:#11.10#   283#
Packet Sent:#200#Round Trip Time#165319#Encryption Time Sender#141#Encryption Time Sender#243#49624#49624#49624#Message:#11.09#   283#
