⸮⸮Ƈ⸮,,V⸮L'k⸮&TY⸮z⸮⸮b|⸮ޗ⸮⸮t⸮⸮⸮5⸮⸮/⸮vB⸮0⸮',⸮eC⸮&⸮⸮քC⸮G⸮⸮V⸮⸮⸮`⸮⸮⸮:`⸮⸮&⸮-J⸮P⸮7fl|⸮⸮⸮`5
This is a long sentence that is encrypted and then transmitted using the MQTT protocol for test.

Packet Sent:#89#Round Trip Time#1003018#Encryption Time Sender#330#Decryption Time Sender#260#49088#49088#49088#Message:#101.6#  328 #
Packet Sent:#90#Round Trip Time#1003037#Encryption Time Sender#226#Decryption Time Sender#291#49088#48976#48976#Message:#100.1#  326 #
Packet Sent:#91#Round Trip Time#1005963#Encryption Time Sender#329#Decryption Time Sender#290#49088#49088#49088#Message:#101.6#  327 #
Packet Sent:#92#Round Trip Time#1003097#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#101.6#  328 #
Packet Sent:#93#Round Trip Time#1005843#Encryption Time Sender#330#Decryption Time Sender#295#49088#49088#49088#Message:#103.3#  327 #
Packet Sent:#94#Round Trip Time#1005948#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#101.5#  328 #
Packet Sent:#95#Round Trip Time#1003097#Encryption Time Sender#329#Decryption Time Sender#290#49088#49088#49088#Message:#101.6#  327 #
Packet Sent:#96#Round Trip Time#1006127#Encryption Time Sender#333#Decryption Time Sender#291#49088#49088#49088#Message:#101.4#  327 #
Packet Sent:#97#Round Trip Time#1005936#Encryption Time Sender#330#Decryption Time Sender#294#49088#49088#49088#Message:#101.2#  326 #
Packet Sent:#98#Round Trip Time#1003094#Encryption Time Sender#329#Decryption Time Sender#291#49088#49088#49088#Message:#101.8#  327 #
Packet Sent:#99#Round Trip Time#1005997#Encryption Time Sender#329#Decryption Time Sender#289#49088#49088#49088#Message:#98.52#  326 #
Packet Sent:#100#Round Trip Time#1005844#Encryption Time Sender#330#Decryption Time Sender#296#49088#49088#49088#Message:#102.9#  323 #
Packet Sent:#101#Round Trip Time#1004320#Encryption Time Sender#329#Decryption Time Sender#290#49088#49088#49088#Message:#101.2#  327 #
Packet Sent:#102#Round Trip Time#1005931#Encryption Time Sender#329#Decryption Time Sender#291#49088#49088#49088#Message:#100.4#  327 #
Packet Sent:#103#Round Trip Time#1005878#Encryption Time Sender#329#Decryption Time Sender#295#49088#49088#49088#Message:#101.6#  326 #
Packet Sent:#104#Round Trip Time#1004540#Encryption Time Sender#333#Decryption Time Sender#291#49088#49088#49088#Message:#101.1#  327 #
Packet Sent:#105#Round Trip Time#1006043#Encryption Time Sender#332#Decryption Time Sender#290#49088#49088#49088#Message:#101.1#  323 #
Packet Sent:#106#Round Trip Time#1006118#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#102.1#  327 #
Packet Sent:#107#Round Trip Time#1006906#Encryption Time Sender#330#Decryption Time Sender#291#49088#48976#48976#Message:#101.1#  328 #
Packet Sent:#108#Round Trip Time#1005983#Encryption Time Sender#331#Decryption Time Sender#291#49088#49088#49088#Message:#101.7#  328 #
Packet Sent:#109#Round Trip Time#1005781#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#101.8#  327 #
Packet Sent:#110#Round Trip Time#1005864#Encryption Time Sender#330#Decryption Time Sender#294#49088#49088#49088#Message:#102.3#  327 #
Packet Sent:#111#Round Trip Time#1005979#Encryption Time Sender#328#Decryption Time Sender#291#49088#49088#49088#Message:#102.5#  326 #
Packet Sent:#112#Round Trip Time#1005953#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#101.9#  327 #
Packet Sent:#113#Round Trip Time#1005952#Encryption Time Sender#333#Decryption Time Sender#295#49088#49088#49088#Message:#101.4#  327 #
Packet Sent:#114#Round Trip Time#1005996#Encryption Time Sender#334#Decryption Time Sender#295#49088#49088#49088#Message:#99.30#  324 #
Packet Sent:#115#Round Trip Time#1005794#Encryption Time Sender#333#Decryption Time Sender#295#49088#49088#49088#Message:#101.3#  326 #
Packet Sent:#116#Round Trip Time#1005879#Encryption Time Sender#333#Decryption Time Sender#294#49088#49088#49088#Message:#101.1#  291 #
Packet Sent:#117#Round Trip Time#1003097#Encryption Time Sender#329#Decryption Time Sender#294#49088#49088#49088#Message:#101.3#  326 #
Packet Sent:#118#Round Trip Time#1005950#Encryption Time Sender#335#Decryption Time Sender#290#49088#49088#49088#Message:#101.1#  327 #
Packet Sent:#119#Round Trip Time#1005842#Encryption Time Sender#330#Decryption Time Sender#295#49088#49088#49088#Message:#103.2#  327 #
Packet Sent:#120#Round Trip Time#1004397#Encryption Time Sender#329#Decryption Time Sender#291#49088#49088#49088#Message:#101.0#  327 #
